# ----------------------------------------
# Report CSV Export
# Account: PSI Website
# Property: Raw Website Data
# ----------------------------------------
# 
# All Users
# Start date: 20230608
# End date: 20230705

Page title and screen class,Views,Users,Views per user,Average engagement time,Event count,Conversions,Total revenue
"GSA Information Technology (IT) Services, Schedule 70  ",2,2,1,4.5,2,0,0
Information Technology Enterprise Solutions – 3 Services (ITES-3S)  ,2,2,1,39.5,2,0,0
Kotesh Chitimalla | Profile,2,1,2,46,3,0,0
Life at PSI (retired) | PSI Website,2,2,1,37.5,6,0,0
PSI's Annual Charity Golf Tournament | PSI Website,2,2,1,78.5,5,0,0
SeaPort Next Generation (SeaPort-NxG) ,2,2,1,34,2,0,0
Stacy F.,2,2,1,17,3,0,0
Transitioning Military 1 | PSI Website,2,2,1,45.5,10,0,0
test - PSI Website,2,1,2,76,2,0,0
5 Java Development Tips,1,1,1,66,5,0,0
571111 - PSI Website,1,1,1,3,1,0,0
70355942_2825526927474987_42201582814877 | PSI's Annual Charity Golf Tournament,1,1,1,25,3,0,0
BPR - PSI Website,1,1,1,10,1,0,0
Clinical Services & Manpower Management | PSI Website,1,1,1,7,2,0,0
Clinical Systems Development | PSI Website,1,1,1,121,1,0,0
Cloud Custodian,1,1,1,0,3,0,0
Commitment to Excellence,1,1,1,14,1,0,0
DHA - PSI Website,1,1,1,6,1,0,0
Database Guidance | PSI Website,1,1,1,2,3,0,0
Engineering Psychology | PSI Website,1,1,1,0,1,0,0
GSA Professional Services Schedule (PSS)  ,1,1,1,4,1,0,0
Health Information Exchange Implementati | PSI Website,1,1,1,40,2,0,0
Health Systems Implementation & Training | PSI Website,1,1,1,26,1,0,0
Human Resources - PSI Website,1,1,1,14,2,0,0
Inter Planetary File System (IPFS),1,1,1,232,5,0,0
Inter Planetary File Systems,1,1,1,38,3,0,0
J6 Enterprise Technology Services (DLA JETS),1,1,1,2,4,0,0
J6 Enterprise Technology Services (DLA JETS)  ,1,1,1,5,1,0,0
John Namias - PSI Website,1,1,1,13,1,0,0
Least Privilege & Separation of Duties,1,1,1,15,2,0,0
Let Me Google That,1,1,1,34,2,0,0
Medical Readiness Support | PSI Website,1,1,1,23,5,0,0
NetApp Backups to AWS,1,1,1,3,1,0,0
Organizational Oversight and Process Imp | PSI Website,1,1,1,127,1,0,0
PSI AWARDED $149 MILLION CONTRACT TO CONTINUE PROVIDING ENTERPRISE TESTING SERVICE SUPPORT SERVICES ,1,1,1,31,1,0,0
PSI Innovation Facility,1,1,1,5,4,0,0
PSI JV Awarded $15.6 Million Contract to Provide Customer Support Services Support to Army,1,0,0,0,4,0,0
PSI Launches State-of-the-art Innovation Facility in Florida,1,1,1,0,3,0,0
PSI NAMES NEW CIO TO ITS SENIOR LEADERSHIP TEAM,1,1,1,28,1,0,0
PSI RAMPS UP FOR GROWTH WITH ADDITIONS TO LEADERSHIP TEAM,1,1,1,8,1,0,0
Podcast | PSI Website,1,1,1,13,2,0,0
Preventable Incidents,1,2,0.5,151,4,0,0
Quality Assurance | PSI Website,1,1,1,31,2,0,0
Strategic Partners Acquisition Readiness Contract (CMS SPARC) ,1,1,1,6,1,0,0
Sunsetting LTO Tapes?,1,1,1,5,5,0,0
System Controls - PSI Website,1,1,1,51,1,0,0
Tabbitha P.,1,1,1,0,1,0,0
Tamaira heyward - PSI Website,1,1,1,60,3,0,0
U.S. Citizenship and Immigration Services (USCIS) - PSI Website,1,1,1,13,2,0,0
What the Heck is dHCI?,1,1,1,146,5,0,0
Zero Trust and NIST SP 800-207,1,1,1,4,1,0,0
accenture - PSI Website,1,1,1,3,1,0,0
billboard - PSI Website,1,1,1,8,1,0,0
change management - PSI Website,1,1,1,22,1,0,0
credenttials - PSI Website,1,1,1,6,1,0,0
cyfluent - PSI Website,1,1,1,9,1,0,0
dtbe - PSI Website,1,1,1,0,2,0,0
help desk - PSI Website,1,1,1,272,2,0,0
helpdesk - PSI Website,1,1,1,22,1,0,0
holiday schedule - PSI Website,1,1,1,24,2,0,0
human resources - PSI Website,1,1,1,11,1,0,0
kahua - PSI Website,1,1,1,10,2,0,0
login - PSI Website,1,1,1,36,2,0,0
myself - PSI Website,1,1,1,32,1,0,0
naic - PSI Website,1,1,1,13,2,0,0
podcast - PSI Website,1,1,1,5,1,0,0
susan bass - PSI Website,1,1,1,30,1,0,0
test engineer - PSI Website,1,1,1,21,1,0,0
view payroll - PSI Website,1,1,1,4,1,0,0
william tuttle - PSI Website,1,1,1,28,1,0,0
Návod k databázi | Web PSI,0,1,0,0,3,0,0
PSI BOLSTERS ITS POSITION AS GLOBAL HEALTH IT LEADER WITH ACQUISITION OF QUARTERLINE,0,1,0,0,3,0,0
Post | PSI Website,0,1,0,13,1,0,0
Transformation Twenty-One Total Technology-Next Generation (T4NG),0,3,0,10,5,0,0
pro sphere - PSI Website,0,1,0,29,1,0,0
信息技术| 国际计划系统公司 (PSI) | 阿灵顿,0,1,0,0,1,0,0
